 358  52.9 352.6        068
 359  77.2 351.3        069
 360  90.4 201.3        070
 361  68.6 199.4        071
 362  44.6 205.3        072
 363  29.3 216.6        073
 364  17.5 257.3        074
 365  24.4 318.4        075
 366  41.3 334.6        076
 367  64.8 338.2        077
 368  88.9 337.4        078
 369 135.8 215.0        079
 370 103.0 212.0        080
 371  78.2 210.3        081
 372  57.5 213.2        082
 373  46.6 218.3        083
 374  34.2 244.7        084
 375  31.5 283.9        085
 376  37.3 306.6        086
 377  56.1 324.7        087
 378  79.2 326.6        088
 379 102.0 324.4        089
 380 131.3 326.7        090
 381 112.1 221.0        091
 382  91.5 217.5        092
 383  67.2 219.5        093
 384  48.2 236.9        094
 385  42.5 263.2        095
 386  46.3 292.9        096
 387  66.5 315.0        097
 388  88.2 316.3        098
 389 113.3 316.2        099
 390 126.6 229.9        100
 391 100.8 226.7        101
 392  79.3 227.4        102
 393  65.1 230.1        103
 394  56.9 249.6        104
 395  55.6 276.5        105
 396  60.5 294.4        106
 397  74.2 303.9        107
 398 100.7 304.1        108
 399 126.1 303.9        109
 400 111.7 236.3        110
 401  91.0 233.3        111
 402  72.7 245.7        112
 403  65.6 264.6        113
 404  69.4 285.1        114
 405  90.8 293.8        115
 406 111.8 298.4        116
 407  99.1 238.9        117
 408  99.0 288.6        118
 409 112.0 250.8        119
 410  91.5 248.8        120
 411  79.0 253.0        121
 412  79.0 273.4        122
 413  90.0 282.0        123
 414 110.7 281.8        124
 415 100.6 257.7        125
 416  99.8 273.8        126
 417 110.0 265.9        127
 418  91.1 264.5        128
 419 105.2 353.1       n001
 420 105.2 353.1       n002
 421  84.4 353.1       n003
 422  84.4 353.1       n004
 423  62.9 353.3       n005
 424  62.9 353.3       n006
 425 104.4  14.9       n007
 426 104.4  14.9       n008
 427  82.9  15.0       n009
 428  82.9  15.0       n010
 429  61.9  16.9       n011
 430  61.9  16.9       n012
 431  42.4  23.1       n013
 432  42.4  23.1       n014
 433  25.0  39.5       n015
 434  25.0  39.5       n016
 435  80.6  37.4       n017
 436  80.6  37.5       n018
 437  58.4  43.2       n019
 438  58.4  43.2       n020
 439  41.7  59.8       n021
